"Timestamp","Variable","Value"
1743245460000,PIC11151A - Limites de Abertura/Fechamento,5
1743245460000,PIC11151A - Modos de Operacao,46
1743245460000,PIC11151A - SP Int/Ext,2
1743245460000,PIC11151A\MV,81.97501373291016
1743245460000,PIC11151A\PV_IN,206.0183563232422
1743245460000,PIC11151A\SP,220
1743245520000,II113RC001\U,16.59908103942871
1743245520000,PIC11151A - Alarme,0
1743245520000,PIC11151A - Falha,192
1743245520000,PIC11151A - Limites de Abertura/Fechamento,5
1743245520000,PIC11151A - Modos de Operacao,46
1743245520000,PIC11151A - SP Int/Ext,2
1743245520000,PIC11151A\MV,80.83767700195312
1743245520000,PIC11151A\PV_IN,200.78013610839844
1743245520000,PIC11151A\SP,220
1743245580000,II113RC001\U,16.593323707580566
1743245580000,PIC11151A - Alarme,0
1743245580000,PIC11151A - Falha,192
1743245580000,PIC11151A - Limites de Abertura/Fechamento,5
1743245580000,PIC11151A - Modos de Operacao,46
1743245580000,PIC11151A - SP Int/Ext,2
1743245580000,PIC11151A\MV,80.19335556030273
1743245580000,PIC11151A\PV_IN,206.49871826171875
1743245580000,PIC11151A\SP,220
1743245640000,II113RC001\U,16.610512733459473
1743245640000,PIC11151A - Alarme,0
1743245640000,PIC11151A - Falha,192
1743245640000,PIC11151A - Limites de Abertura/Fechamento,5
1743245640000,PIC11151A - Modos de Operacao,46
1743245640000,PIC11151A - SP Int/Ext,2
1743245640000,PIC11151A\MV,80.29824829101562
1743245640000,PIC11151A\PV_IN,223.6500473022461
1743245640000,PIC11151A\SP,220
1743245700000,II113RC001\U,16.60061264038086
1743245700000,PIC11151A - Alarme,0
1743245700000,PIC11151A - Falha,192
1743245700000,PIC11151A - Limites de Abertura/Fechamento,5
1743245700000,PIC11151A - Modos de Operacao,46
1743245700000,PIC11151A - SP Int/Ext,2
1743245700000,PIC11151A\MV,81.40438079833984
1743245700000,PIC11151A\PV_IN,237.53485107421875
1743245700000,PIC11151A\SP,220
1743245760000,II113RC001\U,16.595218658447266
1743245760000,PIC11151A - Alarme,0
1743245760000,PIC11151A - Falha,192
1743245760000,PIC11151A - Limites de Abertura/Fechamento,5
1743245760000,PIC11151A - Modos de Operacao,46
1743245760000,PIC11151A - SP Int/Ext,2
1743245760000,PIC11151A\MV,82.43277359008789
1743245760000,PIC11151A\PV_IN,242.16675567626953
1743245760000,PIC11151A\SP,220
1743245820000,II113RC001\U,16.59462547302246
1743245820000,PIC11151A - Alarme,0
1743245820000,PIC11151A - Falha,192
1743245820000,PIC11151A - Limites de Abertura/Fechamento,5
1743245820000,PIC11151A - Modos de Operacao,46
1743245820000,PIC11151A - SP Int/Ext,2
1743245820000,PIC11151A\MV,83.21864700317383
1743245820000,PIC11151A\PV_IN,227.89767456054688
1743245820000,PIC11151A\SP,220
1743245880000,II113RC001\U,16.599218368530273
1743245880000,PIC11151A - Alarme,0
1743245880000,PIC11151A - Falha,192
1743245880000,PIC11151A - Limites de Abertura/Fechamento,5
1743245880000,PIC11151A - Modos de Operacao,46
1743245880000,PIC11151A - SP Int/Ext,2
1743245880000,PIC11151A\MV,82.40412139892578
1743245880000,PIC11151A\PV_IN,205.42567443847656
1743245880000,PIC11151A\SP,220
1743245940000,II113RC001\U,16.599565505981445
1743245940000,PIC11151A - Alarme,0
1743245940000,PIC11151A - Falha,192
1743245940000,PIC11151A - Limites de Abertura/Fechamento,5
1743245940000,PIC11151A - Modos de Operacao,46
1743245940000,PIC11151A - SP Int/Ext,2
1743245940000,PIC11151A\MV,81.15538024902344
1743245940000,PIC11151A\PV_IN,198.76377868652344
1743245940000,PIC11151A\SP,220
1743246000000,II113RC001\U,16.59376335144043
1743246000000,PIC11151A - Alarme,0
1743246000000,PIC11151A - Falha,192
1743246000000,PIC11151A - Limites de Abertura/Fechamento,5
1743246000000,PIC11151A - Modos de Operacao,46
1743246000000,PIC11151A - SP Int/Ext,2
1743246000000,PIC11151A\MV,80.4441032409668
1743246000000,PIC11151A\PV_IN,205.19329071044922
1743246000000,PIC11151A\SP,220
1743246060000,II113RC001\U,16.596386909484863
1743246060000,PIC11151A - Alarme,0
1743246060000,PIC11151A - Falha,192
1743246060000,PIC11151A - Limites de Abertura/Fechamento,5
1743246060000,PIC11151A - Modos de Operacao,46
1743246060000,PIC11151A - SP Int/Ext,2
1743246060000,PIC11151A\MV,80.53505325317383
1743246060000,PIC11151A\PV_IN,223.7340545654297
1743246060000,PIC11151A\SP,220
1743246120000,II113RC001\U,16.59813690185547
1743246120000,PIC11151A - Alarme,0
1743246120000,PIC11151A - Falha,192
1743246120000,PIC11151A - Limites de Abertura/Fechamento,5
1743246120000,PIC11151A - Modos de Operacao,46
1743246120000,PIC11151A - SP Int/Ext,2
1743246120000,PIC11151A\MV,81.74078369140625
1743246120000,PIC11151A\PV_IN,239.00161743164062
1743246120000,PIC11151A\SP,220
1743246180000,II113RC001\U,16.591893196105957
1743246180000,PIC11151A - Alarme,0
1743246180000,PIC11151A - Falha,192
1743246180000,PIC11151A - Limites de Abertura/Fechamento,5
1743246180000,PIC11151A - Modos de Operacao,46
1743246180000,PIC11151A - SP Int/Ext,2
1743246180000,PIC11151A\MV,82.77909469604492
1743246180000,PIC11151A\PV_IN,242.18717193603516
1743246180000,PIC11151A\SP,220
1743246240000,II113RC001\U,16.593674659729004
1743246240000,PIC11151A - Alarme,0
1743246240000,PIC11151A - Falha,192
1743246240000,PIC11151A - Limites de Abertura/Fechamento,5
1743246240000,PIC11151A - Modos de Operacao,46
1743246240000,PIC11151A - SP Int/Ext,2
1743246240000,PIC11151A\MV,83.3221435546875
1743246240000,PIC11151A\PV_IN,223.79190826416016
1743246240000,PIC11151A\SP,220
1743246300000,II113RC001\U,16.595659255981445
1743246300000,PIC11151A - Alarme,0
1743246300000,PIC11151A - Falha,192
1743246300000,PIC11151A - Limites de Abertura/Fechamento,5
1743246300000,PIC11151A - Modos de Operacao,46
1743246300000,PIC11151A - SP Int/Ext,2
1743246300000,PIC11151A\MV,82.32413482666016
1743246300000,PIC11151A\PV_IN,203.2477569580078
1743246300000,PIC11151A\SP,220
1743246360000,II113RC001\U,16.597522735595703
1743246360000,PIC11151A - Alarme,0
1743246360000,PIC11151A - Falha,192
1743246360000,PIC11151A - Limites de Abertura/Fechamento,5
1743246360000,PIC11151A - Modos de Operacao,46
1743246360000,PIC11151A - SP Int/Ext,2
1743246360000,PIC11151A\MV,80.99317169189453
1743246360000,PIC11151A\PV_IN,197.5888214111328
1743246360000,PIC11151A\SP,220
1743246420000,II113RC001\U,16.593061447143555
1743246420000,PIC11151A - Alarme,0
1743246420000,PIC11151A - Falha,192
1743246420000,PIC11151A - Limites de Abertura/Fechamento,5
1743246420000,PIC11151A - Modos de Operacao,46
1743246420000,PIC11151A - SP Int/Ext,2
1743246420000,PIC11151A\MV,80.31524658203125
1743246420000,PIC11151A\PV_IN,206.20001983642578
1743246420000,PIC11151A\SP,220
1743246480000,II113RC001\U,16.59315776824951
1743246480000,PIC11151A - Alarme,0
1743246480000,PIC11151A - Falha,192
1743246480000,PIC11151A - Limites de Abertura/Fechamento,5
1743246480000,PIC11151A - Modos de Operacao,46
1743246480000,PIC11151A - SP Int/Ext,2
1743246480000,PIC11151A\MV,80.45040893554688
1743246480000,PIC11151A\PV_IN,224.92838287353516
1743246480000,PIC11151A\SP,220
1743246540000,II113RC001\U,16.594573974609375
1743246540000,PIC11151A - Alarme,0
1743246540000,PIC11151A - Falha,192
1743246540000,PIC11151A - Limites de Abertura/Fechamento,5
1743246540000,PIC11151A - Modos de Operacao,46
1743246540000,PIC11151A - SP Int/Ext,2
1743246540000,PIC11151A\MV,81.69025421142578
1743246540000,PIC11151A\PV_IN,239.3928985595703
1743246540000,PIC11151A\SP,220
1743246600000,II113RC001\U,16.593278884887695
1743246600000,PIC11151A - Alarme,0
1743246600000,PIC11151A - Falha,192
1743246600000,PIC11151A - Limites de Abertura/Fechamento,5
1743246600000,PIC11151A - Modos de Operacao,46
1743246600000,PIC11151A - SP Int/Ext,2
1743246600000,PIC11151A\MV,82.67847061157227
1743246600000,PIC11151A\PV_IN,240.83585357666016
1743246600000,PIC11151A\SP,220
1743246660000,II113RC001\U,16.593706130981445
1743246660000,PIC11151A - Alarme,0
1743246660000,PIC11151A - Falha,192
1743246660000,PIC11151A - Limites de Abertura/Fechamento,5
1743246660000,PIC11151A - Modos de Operacao,46
1743246660000,PIC11151A - SP Int/Ext,2
1743246660000,PIC11151A\MV,82.96622848510742
1743246660000,PIC11151A\PV_IN,220.0238037109375
1743246660000,PIC11151A\SP,220
1743246720000,II113RC001\U,16.595659255981445
1743246720000,PIC11151A - Alarme,0
1743246720000,PIC11151A - Falha,192
1743246720000,PIC11151A - Limites de Abertura/Fechamento,5
1743246720000,PIC11151A - Modos de Operacao,46
1743246720000,PIC11151A - SP Int/Ext,2
1743246720000,PIC11151A\MV,81.93843078613281
1743246720000,PIC11151A\PV_IN,203.86785888671875
1743246720000,PIC11151A\SP,220
1743246780000,II113RC001\U,16.59853172302246
1743246780000,PIC11151A - Alarme,0
1743246780000,PIC11151A - Falha,192
1743246780000,PIC11151A - Limites de Abertura/Fechamento,5
1743246780000,PIC11151A - Modos de Operacao,46
1743246780000,PIC11151A - SP Int/Ext,2
1743246780000,PIC11151A\MV,80.7285385131836
1743246780000,PIC11151A\PV_IN,199.7224578857422
1743246780000,PIC11151A\SP,220
1743246840000,II113RC001\U,16.593725204467773
1743246840000,PIC11151A - Alarme,0
1743246840000,PIC11151A - Falha,192
1743246840000,PIC11151A - Limites de Abertura/Fechamento,5
1743246840000,PIC11151A - Modos de Operacao,46
1743246840000,PIC11151A - SP Int/Ext,2
1743246840000,PIC11151A\MV,80.13919830322266
1743246840000,PIC11151A\PV_IN,207.9218292236328
1743246840000,PIC11151A\SP,220
1743246900000,II113RC001\U,16.622875213623047
1743246900000,PIC11151A - Alarme,0
1743246900000,PIC11151A - Falha,192
1743246900000,PIC11151A - Limites de Abertura/Fechamento,5
1743246900000,PIC11151A - Modos de Operacao,46
1743246900000,PIC11151A - SP Int/Ext,2
1743246900000,PIC11151A\MV,80.31447219848633
1743246900000,PIC11151A\PV_IN,224.92466735839844
1743246900000,PIC11151A\SP,220
1743246960000,II113RC001\U,16.597753524780273
1743246960000,PIC11151A - Alarme,0
1743246960000,PIC11151A - Falha,192
1743246960000,PIC11151A - Limites de Abertura/Fechamento,5
1743246960000,PIC11151A - Modos de Operacao,46
1743246960000,PIC11151A - SP Int/Ext,2
1743246960000,PIC11151A\MV,81.45765686035156
1743246960000,PIC11151A\PV_IN,237.87966918945312
1743246960000,PIC11151A\SP,220
1743247020000,II113RC001\U,16.596585273742676
1743247020000,PIC11151A - Alarme,0
1743247020000,PIC11151A - Falha,192
1743247020000,PIC11151A - Limites de Abertura/Fechamento,5
1743247020000,PIC11151A - Modos de Operacao,46
1743247020000,PIC11151A - SP Int/Ext,2
1743247020000,PIC11151A\MV,82.44768142700195
1743247020000,PIC11151A\PV_IN,241.26402282714844
1743247020000,PIC11151A\SP,220
1743247080000,II113RC001\U,16.593355178833008
1743247080000,PIC11151A - Alarme,0
1743247080000,PIC11151A - Falha,192
1743247080000,PIC11151A - Limites de Abertura/Fechamento,5
1743247080000,PIC11151A - Modos de Operacao,46
1743247080000,PIC11151A - SP Int/Ext,2
1743247080000,PIC11151A\MV,83.03384399414062
1743247080000,PIC11151A\PV_IN,224.76116943359375
1743247080000,PIC11151A\SP,220
1743247140000,II113RC001\U,16.596416473388672
1743247140000,PIC11151A - Alarme,0
1743247140000,PIC11151A - Falha,192
1743247140000,PIC11151A - Limites de Abertura/Fechamento,5
1743247140000,PIC11151A - Modos de Operacao,46
1743247140000,PIC11151A - SP Int/Ext,2
1743247140000,PIC11151A\MV,82.32719421386719
1743247140000,PIC11151A\PV_IN,207.809326171875
1743247140000,PIC11151A\SP,220
1743247200000,II113RC001\U,16.597854614257812
1743247200000,PIC11151A - Alarme,0
1743247200000,PIC11151A - Falha,192
1743247200000,PIC11151A - Limites de Abertura/Fechamento,5
1743247200000,PIC11151A - Modos de Operacao,46
1743247200000,PIC11151A - SP Int/Ext,2
1743247200000,PIC11151A\MV,81.28831481933594
1743247200000,PIC11151A\PV_IN,202.01010131835938
1743247200000,PIC11151A\SP,220
1743247260000,II113RC001\U,16.59434413909912
1743247260000,PIC11151A - Alarme,0
1743247260000,PIC11151A - Falha,192
1743247260000,PIC11151A - Limites de Abertura/Fechamento,5
1743247260000,PIC11151A - Modos de Operacao,46
1743247260000,PIC11151A - SP Int/Ext,2
1743247260000,PIC11151A\MV,80.45952606201172
1743247260000,PIC11151A\PV_IN,202.35808563232422
1743247260000,PIC11151A\SP,220
1743247320000,II113RC001\U,16.63029193878174
1743247320000,PIC11151A - Alarme,0
1743247320000,PIC11151A - Falha,192
1743247320000,PIC11151A - Limites de Abertura/Fechamento,5
1743247320000,PIC11151A - Modos de Operacao,46
1743247320000,PIC11151A - SP Int/Ext,2
1743247320000,PIC11151A\MV,80.0940933227539
1743247320000,PIC11151A\PV_IN,217.79434204101562
1743247320000,PIC11151A\SP,220
1743247380000,II113RC001\U,16.59313201904297
1743247380000,PIC11151A - Alarme,0
1743247380000,PIC11151A - Falha,192
1743247380000,PIC11151A - Limites de Abertura/Fechamento,5
1743247380000,PIC11151A - Modos de Operacao,46
1743247380000,PIC11151A - SP Int/Ext,2
1743247380000,PIC11151A\MV,80.88762664794922
1743247380000,PIC11151A\PV_IN,233.37765502929688
1743247380000,PIC11151A\SP,220
1743247440000,II113RC001\U,16.59391689300537
1743247440000,PIC11151A - Alarme,0
1743247440000,PIC11151A - Falha,192
1743247440000,PIC11151A - Limites de Abertura/Fechamento,5
1743247440000,PIC11151A - Modos de Operacao,46
1743247440000,PIC11151A - SP Int/Ext,2
1743247440000,PIC11151A\MV,81.79182052612305
1743247440000,PIC11151A\PV_IN,240.21804809570312
1743247440000,PIC11151A\SP,220
1743247500000,II113RC001\U,16.595550537109375
1743247500000,PIC11151A - Alarme,0
1743247500000,PIC11151A - Falha,192
1743247500000,PIC11151A - Limites de Abertura/Fechamento,5
1743247500000,PIC11151A - Modos de Operacao,46
1743247500000,PIC11151A - SP Int/Ext,2
1743247500000,PIC11151A\MV,82.86003112792969
1743247500000,PIC11151A\PV_IN,233.99072265625
1743247500000,PIC11151A\SP,220
1743247560000,II113RC001\U,16.59723663330078
1743247560000,PIC11151A - Alarme,0
1743247560000,PIC11151A - Falha,192
1743247560000,PIC11151A - Limites de Abertura/Fechamento,5
1743247560000,PIC11151A - Modos de Operacao,46
1743247560000,PIC11151A - SP Int/Ext,2
1743247560000,PIC11151A\MV,82.38638305664062
1743247560000,PIC11151A\PV_IN,209.51937866210938
1743247560000,PIC11151A\SP,220
1743247620000,II113RC001\U,16.603866577148438
1743247620000,PIC11151A - Alarme,0
1743247620000,PIC11151A - Falha,192
1743247620000,PIC11151A - Limites de Abertura/Fechamento,5
1743247620000,PIC11151A - Modos de Operacao,46
1743247620000,PIC11151A - SP Int/Ext,2
1743247620000,PIC11151A\MV,81.30187225341797
1743247620000,PIC11151A\PV_IN,201.09947204589844
1743247620000,PIC11151A\SP,220
1743247680000,II113RC001\U,16.597204208374023
1743247680000,PIC11151A - Alarme,0
1743247680000,PIC11151A - Falha,192
1743247680000,PIC11151A - Limites de Abertura/Fechamento,5
1743247680000,PIC11151A - Modos de Operacao,46
1743247680000,PIC11151A - SP Int/Ext,2
1743247680000,PIC11151A\MV,80.39529037475586
1743247680000,PIC11151A\PV_IN,200.65711212158203
1743247680000,PIC11151A\SP,220
1743247740000,II113RC001\U,16.632404327392578
1743247740000,PIC11151A - Alarme,0
1743247740000,PIC11151A - Falha,192
1743247740000,PIC11151A - Limites de Abertura/Fechamento,5
1743247740000,PIC11151A - Modos de Operacao,46
1743247740000,PIC11151A - SP Int/Ext,2
1743247740000,PIC11151A\MV,79.91922378540039
1743247740000,PIC11151A\PV_IN,216.0141143798828
1743247740000,PIC11151A\SP,220
1743247800000,II113RC001\U,16.601863861083984
1743247800000,PIC11151A - Alarme,0
1743247800000,PIC11151A - Falha,192
1743247800000,PIC11151A - Limites de Abertura/Fechamento,5
1743247800000,PIC11151A - Modos de Operacao,46
1743247800000,PIC11151A - SP Int/Ext,2
1743247800000,PIC11151A\MV,80.71804809570312
1743247800000,PIC11151A\PV_IN,234.43194580078125
1743247800000,PIC11151A\SP,220
1743247860000,II113RC001\U,16.598097801208496
1743247860000,PIC11151A - Alarme,0
1743247860000,PIC11151A - Falha,192
1743247860000,PIC11151A - Limites de Abertura/Fechamento,5
1743247860000,PIC11151A - Modos de Operacao,46
1743247860000,PIC11151A - SP Int/Ext,2
1743247860000,PIC11151A\MV,81.71350479125977
1743247860000,PIC11151A\PV_IN,242.17050170898438
1743247860000,PIC11151A\SP,220
1743247920000,II113RC001\U,16.597976684570312
1743247920000,PIC11151A - Alarme,0
1743247920000,PIC11151A - Falha,192
1743247920000,PIC11151A - Limites de Abertura/Fechamento,5
1743247920000,PIC11151A - Modos de Operacao,46
1743247920000,PIC11151A - SP Int/Ext,2
1743247920000,PIC11151A\MV,82.82015609741211
1743247920000,PIC11151A\PV_IN,234.34928131103516
1743247920000,PIC11151A\SP,220
1743247980000,II113RC001\U,16.60593032836914
1743247980000,PIC11151A - Alarme,0
1743247980000,PIC11151A - Falha,192
1743247980000,PIC11151A - Limites de Abertura/Fechamento,5
1743247980000,PIC11151A - Modos de Operacao,46
1743247980000,PIC11151A - SP Int/Ext,2
1743247980000,PIC11151A\MV,82.30986785888672
1743247980000,PIC11151A\PV_IN,208.93919372558594
1743247980000,PIC11151A\SP,220
1743248040000,II113RC001\U,16.603496551513672
1743248040000,PIC11151A - Alarme,0
1743248040000,PIC11151A - Falha,192
1743248040000,PIC11151A - Limites de Abertura/Fechamento,5
1743248040000,PIC11151A - Modos de Operacao,46
1743248040000,PIC11151A - SP Int/Ext,2
1743248040000,PIC11151A\MV,81.18550872802734
1743248040000,PIC11151A\PV_IN,200.58392333984375
1743248040000,PIC11151A\SP,220
1743248100000,II113RC001\U,16.593579292297363
1743248100000,PIC11151A - Alarme,0
1743248100000,PIC11151A - Falha,192
